"state","Expected","Observed","Ratio","Excess","Excess_pop"
"Alabama","321 (278-364)","309","0.96","-12 (-55 - 31)","-0.2 (-1.1 - 0.6)"
"Alaska","83 (58-108)","95","1.14","12 (-13 - 37)","1.6 (-1.8 - 5)"
"Arizona","1007 (874-1140)","1186","1.18","179 (46 - 312)","2.5 (0.6 - 4.4)"
"Arkansas","201 (172-230)","262","1.3","61 (32 - 90)","2 (1 - 3)"
"California","3861 (3511-4211)","5029","1.3","1168 (818 - 1518)","3 (2.1 - 3.8)"
"Colorado","451 (376-526)","622","1.38","171 (96 - 246)","3 (1.7 - 4.3)"
"Connecticut","44 (6-82)","94","2.13","50 (12 - 88)","1.4 (0.3 - 2.4)"
"Florida","1149 (1058-1240)","1430","1.24","281 (190 - 372)","1.3 (0.9 - 1.7)"
"Georgia","506 (417-596)","636","1.26","130 (40 - 219)","1.2 (0.4 - 2)"
"Hawaii","203 (170-236)","216","1.06","13 (-20 - 46)","0.9 (-1.4 - 3.1)"
"Idaho","110 (88-133)","115","1.04","5 (-18 - 27)","0.3 (-1 - 1.5)"
"Illinois","310 (234-386)","477","1.54","167 (91 - 243)","1.3 (0.7 - 1.9)"
"Indiana","707 (615-799)","785","1.11","78 (-14 - 170)","1.1 (-0.2 - 2.5)"
"Iowa","279 (206-352)","212","0.76","-67 (-140 - 6)","-2.1 (-4.4 - 0.2)"
"Kansas","281 (216-346)","237","0.84","-44 (-109 - 21)","-1.5 (-3.7 - 0.7)"
"Kentucky","580 (492-668)","802","1.38","222 (134 - 310)","4.9 (3 - 6.9)"
"Louisiana","331 (284-378)","429","1.3","98 (51 - 145)","2.1 (1.1 - 3.1)"
"Maine","92 (63-121)","121","1.32","29 (0 - 58)","2.1 (0 - 4.2)"
"Maryland","98 (76-120)","143","1.46","45 (23 - 67)","0.7 (0.4 - 1.1)"
"Massachusetts","136 (109-163)","180","1.32","44 (17 - 71)","0.6 (0.2 - 1)"
"Michigan","296 (250-342)","421","1.42","125 (79 - 171)","1.2 (0.8 - 1.7)"
"Minnesota","336 (263-409)","364","1.08","28 (-45 - 101)","0.5 (-0.8 - 1.8)"
"Mississippi","149 (107-191)","236","1.58","87 (45 - 129)","2.9 (1.5 - 4.3)"
"Missouri","640 (595-685)","712","1.11","72 (27 - 117)","1.2 (0.4 - 1.9)"
"Montana","23 (-38-84)","75","3.21","52 (-9 - 113)","4.8 (-0.9 - 10.4)"
"Nebraska","47 (21-73)","77","1.63","30 (4 - 56)","1.5 (0.2 - 2.8)"
"Nevada","419 (363-475)","457","1.09","38 (-18 - 94)","1.2 (-0.6 - 3)"
"New Hampshire","30 (-33-93)","73","2.45","43 (-20 - 106)","3.1 (-1.5 - 7.7)"
"New Jersey","299 (256-342)","273","0.91","-26 (-69 - 17)","-0.3 (-0.7 - 0.2)"
"New Mexico","377 (325-429)","382","1.01","5 (-47 - 57)","0.2 (-2.2 - 2.7)"
"New York","291 (224-358)","458","1.57","167 (100 - 234)","0.8 (0.5 - 1.2)"
"North Carolina","436 (398-474)","615","1.41","179 (141 - 217)","1.7 (1.4 - 2.1)"
"North Dakota","24 (4-44)","37","1.57","13 (-7 - 33)","1.7 (-0.8 - 4.3)"
"Ohio","1160 (885-1435)","1166","1.01","6 (-269 - 281)","0.1 (-2.3 - 2.4)"
"Oklahoma","414 (337-491)","506","1.22","92 (15 - 169)","2.3 (0.4 - 4.3)"
"Oregon","369 (316-422)","397","1.08","28 (-25 - 81)","0.7 (-0.6 - 1.9)"
"Pennsylvania","705 (660-751)","824","1.17","119 (73 - 164)","0.9 (0.6 - 1.3)"
"Rhode Island","14 (4-24)","38","2.71","24 (14 - 34)","2.2 (1.3 - 3.1)"
"South Carolina","432 (389-475)","543","1.26","111 (68 - 154)","2.2 (1.3 - 3)"
"South Dakota","29 (10-47)","34","1.18","5 (-13 - 24)","0.6 (-1.5 - 2.7)"
"Tennessee","922 (846-998)","1069","1.16","147 (71 - 223)","2.1 (1 - 3.2)"
"Texas","1533 (1366-1700)","1738","1.13","205 (38 - 372)","0.7 (0.1 - 1.3)"
"Utah","278 (227-329)","261","0.94","-17 (-68 - 34)","-0.5 (-2.1 - 1.1)"
"Virginia","282 (244-320)","431","1.53","149 (111 - 187)","1.7 (1.3 - 2.2)"
"Washington","696 (653-739)","806","1.16","110 (67 - 153)","1.4 (0.9 - 2)"
"West Virginia","526 (471-581)","681","1.29","155 (100 - 210)","8.6 (5.6 - 11.7)"
"Wisconsin","206 (146-266)","301","1.46","95 (35 - 155)","1.6 (0.6 - 2.6)"
"Wyoming","41 (29-52)","40","0.98","-1 (-12 - 11)","-0.1 (-2.1 - 1.9)"
